district_real,recommended_crop,target_encoded,soil_ph,nitrogen,phosphorus,potassium,annual_rainfall_mm,avg_temperature_C,avg_humidity_pct,altitude_m,soil_ph_scaled,nitrogen_scaled,phosphorus_scaled,potassium_scaled,annual_rainfall_mm_scaled,avg_temperature_C_scaled,avg_humidity_pct_scaled,altitude_m_scaled
Nyarugenge,cassava,1,6.03,0.541,0.131,0.557,663.1,24.81,83.5,1422,0.04308677879905995,1.0779054412210483,0.1479849554878612,0.953964623474482,-1.3413696146919656,1.0174973948841701,0.955312293451113,-0.39338705676780955
Musanze,rice,4,6.44,0.715,0.087,0.146,829.8,24.41,70.7,1747,0.7270464278743101,2.07821900723229,-0.5114914202536296,-1.0188195126206654,-0.40319047689486115,0.8732156832126143,-0.474222456607631,1.228241566468755
Muhanga,beans,0,6.94,0.213,0.134,0.539,760.5,23.67,61.9,1643,1.5611435608929074,-0.8077431199955465,0.19294925383387196,0.8675653182440376,-0.7932073590144731,0.6062945166202355,-1.4570275972730182,0.7093204070330543
Huye,cassava,1,5.77,0.373,0.17,0.62,890.3,25.27,73.6,1556,-0.39064373037061184,0.11208544645157281,0.7325208339860007,1.2563621917810373,-0.0626995480602791,1.1834213633064603,-0.15034348979744772,0.2752228986589586
Rwamagana,irish_potato,2,5.28,0.412,0.279,0.436,925.3,20.13,84.9,1125,-1.2080589207288361,0.336293659523058,2.3662236738910574,0.3731692938698278,0.13427867523245435,-0.6705986316730399,1.1116676567387889,-1.8753061370793778
Muhanga,rice,4,6.23,0.436,0.034,0.458,997.6,18.62,69.8,1551,0.3767256320064992,0.47426794449012605,-1.3058606910331523,0.47876844470703767,0.5411794050628727,-1.2152620932331648,-0.5747366187211371,0.25027476599378073
Ruhango,irish_potato,2,5.2,0.291,0.033,0.476,814.6,17.61,60.2,1718,-1.3415144620118118,-0.35932669385257593,-1.3208487904818225,0.5651677499374819,-0.48873530529627646,-1.5795734152038452,-1.6468876812651947,1.0835423970107232
Gicumbi,beans,0,5.72,0.828,0.167,0.451,1065.4,23.82,78.5,1855,-0.47405344367247126,2.727847932285568,0.68755653563999,0.44516871489519816,0.9227543633270824,0.6604001584970686,0.396900281709416,1.767121232036598
Nyaruguru,maize,3,6.61,0.543,0.243,0.371,904.9,19.36,68.2,1535,1.010639453100633,1.0894032983016373,1.8266520937389281,0.061171802759889655,0.01946851079897556,-0.948340926640786,-0.7534284624784795,0.17044074146521138
Gisagara,cassava,1,6.98,0.442,0.147,0.096,838.4,20.49,61.8,1526,1.6278713315343953,0.5087615157318931,0.38779454666658486,-1.2588175827052328,-0.35479011345721795,-0.5407450911686393,-1.4681958375078523,0.12553410266789114
Nyagatare,irish_potato,2,6.81,0.359,0.139,0.336,856.9,21.96,59.1,1210,1.3442783063080708,0.0316004468874498,0.26788975107722324,-0.10682684629930767,-0.25067305257391603,-0.010509800775668602,-1.7697383238483682,-1.4511878817713533
Nyarugenge,rice,4,5.29,0.486,0.049,0.341,795.7,22.49,85.7,1349,-1.1913769780684647,0.7617143715048508,-1.0810391993030986,-0.08282703929085086,-0.5951035458743524,0.1806634671891428,1.20101357861746,-0.7576297936794071
Rulindo,cassava,1,6.76,0.275,0.224,0.02,712.7,23.68,76.2,1677,1.2608685930062113,-0.4513095504972876,1.5418782042141936,-1.623614649233776,-1.0622233325399775,0.6099015594120236,0.14003075630823567,0.8789677091562642
Nyarugenge,cassava,1,4.81,0.412,0.166,0.333,553.6,22.19,85.2,1395,-1.9921102257663188,0.336293659523058,0.6725684361913197,-0.12122673050438174,-1.9576300561363744,0.0724521834354765,1.1451723774432903,-0.5281069731597703
Bugesera,irish_potato,2,5.84,0.344,0.223,0.498,599.3,23.5,82.4,1113,-0.27387013174800773,-0.05463348121696771,1.5268901047655234,0.6707669007746918,-1.7004327760084343,0.5449747891598233,0.8324616508679402,-1.9351816554758048
Nyarugenge,cassava,1,6.16,0.303,0.133,0.469,1100.6,17.98,90.0,1486,0.2599520333838951,-0.29033955136904194,0.17796115438520171,0.5315680201256424,1.1208581764672019,-1.4461128319076553,1.6812479087153192,-0.0740509586535322
Bugesera,maize,3,6.62,0.099,0.274,0.663,825.4,21.59,82.4,1217,1.0273213957610046,-1.463120973589119,2.291283176647706,1.4627605320537655,-0.4279534535373761,-0.14397038407185866,0.8324616508679402,-1.4162604960401042
Rwamagana,maize,3,5.77,0.569,0.084,0.516,962.2,23.88,72.9,1198,-0.39064373037061184,1.2388754403492936,-0.5564557185996402,0.7571662060051363,0.34195000207536524,0.6820424152478016,-0.22852117144128403,-1.51106340016778
Muhanga,irish_potato,2,5.87,0.296,0.132,0.29,1261.9,20.39,66.2,1683,-0.22382430376689147,-0.33058205115110345,0.16297305493653144,-0.3276250707771102,2.0286463883848573,-0.5768155190865277,-0.9767932671751584,0.9089054683544777
Nyarugenge,cassava,1,5.8,0.339,0.17,0.073,1442.7,19.76,66.2,1469,-0.34059790238949555,-0.08337812391843989,0.7325208339860007,-1.3692166949441342,3.0461796104227488,-0.8040592149692287,-0.9767932671751584,-0.15887460971513712
Nyarugenge,cassava,1,5.86,0.555,0.088,1.008,763.3,21.12,87.5,1499,-0.24050624642726307,1.1583904407851713,-0.4965033208049593,3.1187472156372826,-0.7774491011510547,-0.31350139528593707,1.4020419028444706,-0.009185813724069616
Gicumbi,cassava,1,6.27,0.414,0.07,0.02,1056.5,21.51,51.8,1917,0.4434534026479856,0.34779151660364704,-0.7662891108810235,-1.623614649233776,0.8726656151183583,-0.17282672640616933,-2.5850198609912463,2.076478077084804
Nyabihu,irish_potato,2,5.99,0.259,0.167,0.464,1016.1,22.8,82.3,1280,-0.02364099184242791,-0.5432924071419997,0.68755653563999,0.5075682131171858,0.6452964659461746,0.29248179373459987,0.8212934106331053,-1.1019140244588623
Rusizi,irish_potato,2,6.3,0.633,0.259,0.622,862.0,23.83,75.0,1522,0.49349923062910184,1.6068068669281417,2.0664616849176523,1.2659621145844198,-0.22197051146554617,0.6640072012888568,0.006011873490228081,0.1055755965357488
Bugesera,rice,4,6.01,0.189,0.141,0.462,1038.9,18.86,74.1,1133,0.009722893478315278,-0.9457174049626144,0.29786594997456334,0.49796829031380313,0.7736137085482985,-1.1286930662302315,-0.09450228862327802,-1.835389124815093
Rwamagana,rice,4,5.86,0.13,0.346,0.204,1061.1,18.96,72.9,1257,-0.24050624642726307,-1.2849041888399897,3.370426336951963,-0.7404217513225667,0.8985541816082598,-1.0926226383123419,-0.22852117144128403,-1.2166754347186808
Rwamagana,maize,3,5.37,0.41,0.039,0.433,913.5,20.95,76.4,1292,-1.057921436785489,0.32479580244246903,-1.230920193789801,0.3587694096647537,0.06786887423661876,-0.37482112274634916,0.16236723677790388,-1.0420385060624353
Ngororero,cassava,1,5.82,0.434,0.005,0.107,939.3,23.08,61.4,1520,-0.3072340170687509,0.462770087409537,-1.740515575044589,-1.2060180072866282,0.2130699645495477,0.3934789919046885,-1.5128687984471878,0.09559634346967763
Bugesera,irish_potato,2,5.43,0.354,0.119,0.757,1028.4,23.3,83.5,1169,-0.9578297808232579,0.0028558041859772973,-0.03187223789618185,1.9139569038127529,0.7145202415604784,0.4728339333240454,0.955312293451113,-1.655762569625812
Nyarugenge,rice,4,6.13,0.49,0.032,0.53,720.7,24.21,73.4,1526,0.20990620540277885,0.7847100856660287,-1.3358368899304927,0.8243656656288153,-1.0171997386444955,0.8010748273768363,-0.17267997026711432,0.12553410266789114
Kicukiro,beans,0,6.31,0.095,0.122,0.371,942.0,19.36,67.6,1412,0.5101811732894734,-1.4861166877502971,0.013092060449828911,0.061171802759889655,0.22826542748927314,-0.948340926640786,-0.820437903887484,-0.44328332209816534
Nyarugenge,cassava,1,6.46,0.23,0.185,0.02,939.2,17.93,72.5,1401,0.7604103131950533,-0.71001133481054,0.9573423257160542,-1.623614649233776,0.21250716962585472,-1.4641480458666,-0.2731941323806204,-0.4981692139615568
Nyarugenge,maize,3,6.11,0.508,0.126,0.651,873.4,23.4,61.2,1467,0.17654232008203566,0.8881907993913297,0.07304445824450993,1.4051609952334694,-0.15781189016448455,0.5089043612419337,-1.5352052789168553,-0.16885386278120829
Nyarugenge,rice,4,5.87,0.336,0.14,0.276,1015.1,22.32,69.7,1447,-0.22382430376689147,-0.1006249095393234,0.2828778505258935,-0.39482453040078896,0.6396685167092394,0.11934373972873198,-0.5859048589559704,-0.26864639344191993
Rulindo,maize,3,6.57,0.461,0.058,0.594,1039.0,24.75,70.8,1757,0.9439116824591453,0.6179911579974886,-0.9461463042650663,1.1315631953370617,0.7741765034719915,0.9958551381334372,-0.4630542163727977,1.2781378317991108
Rutsiro,beans,0,5.68,0.247,0.277,0.502,943.2,23.93,74.2,1323,-0.5407812143139591,-0.6122795496255337,2.336247474993717,0.6899667463814573,0.23501896657359567,0.7000776292067464,-0.08333404838844312,-0.8873600835383323
Muhanga,rice,4,5.84,0.19,0.142,0.02,983.5,21.14,66.5,1706,-0.27387013174800773,-0.9399684764223198,0.3128540494232336,-1.623614649233776,0.46182532082208566,-0.3062873097023594,-0.9432885464706569,1.0236668786142962
Musanze,irish_potato,2,6.53,0.213,0.138,0.354,947.6,25.15,90.4,1704,0.8771839118176574,-0.8077431199955465,0.252901651628553,-0.020427541068863457,0.2597819432161106,1.140136849804993,1.7259208696546555,1.013687625548225
Gisagara,cassava,1,5.2,0.429,0.132,0.228,933.6,21.87,71.3,1627,-1.3415144620118118,0.43402544470806453,0.16297305493653144,-0.6252226776819741,0.18099065389901722,-0.04297318590176875,-0.407213015198628,0.6294863825044851
Ruhango,rice,4,6.85,0.128,0.046,0.529,576.1,26.09,75.2,1668,1.4110060769495587,-1.2964020459205785,-1.1260034976491093,0.8195657042271239,-1.8310011983053314,1.4791988722331513,0.028348353959896277,0.834061070358944
Nyarugenge,rice,4,6.59,0.227,0.114,0.534,680.8,23.09,74.0,1483,0.9772755677798884,-0.7272581204314235,-0.10681273513953292,0.8435655112355808,-1.2417549131982122,0.39708603469647796,-0.10567052885811132,-0.08901983825263894
Rwamagana,rice,4,6.15,0.02,0.171,0.245,826.4,18.49,88.4,1262,0.2432700907235235,-1.917286328272384,0.747508933434671,-0.5436233338532211,-0.42232550430044086,-1.2621536495264216,1.5025560649579766,-1.1917273020535029
Kamonyi,irish_potato,2,4.9,0.08,0.123,0.231,903.3,22.92,56.1,1728,-1.84197274182297,-1.5723506158547143,0.028080159898499164,-0.6108227934769,0.010463792019879046,0.33576630723606715,-2.1047855308933863,1.133438662341079
Nyarugenge,beans,0,5.61,0.125,0.131,0.304,972.0,25.11,91.5,1382,-0.6575548129365618,-1.313648831541462,0.1479849554878612,-0.26042561115343116,0.39710390459733036,1.1257086786378379,1.848771512237828,-0.5929721180892329
Bugesera,rice,4,5.93,0.63,0.038,0.685,1277.5,24.55,75.6,1270,-0.12373264780466042,1.5895600813072583,-1.2459082932384713,1.5683596828909756,2.1164423964810464,0.9237142822976593,0.07302131489923108,-1.1518102897892182
Gisagara,maize,3,5.73,0.344,0.196,0.266,923.3,24.83,86.1,1484,-0.4573715010120982,-0.05463348121696771,1.1222114196514268,-0.44282414441770257,0.12302277675858386,1.024711480467748,1.2456865395567949,-0.08403021171960337
Nyarugenge,maize,3,5.3,0.02,0.224,0.432,1022.5,26.37,92.7,1501,-1.174695035408093,-1.917286328272384,1.5418782042141936,0.3539694482630623,0.6813153410625601,1.5801960704032412,1.9827903950558357,0.0007934393420015508
Gakenke,rice,4,6.81,0.433,0.025,0.523,770.5,23.96,79.2,1790,1.3442783063080708,0.45702115886924255,-1.4407535860711842,0.7907659358169757,-0.7369278666451207,0.7108987575821135,0.47507796335325386,1.442795507389285
Rusizi,cassava,1,5.71,0.734,0.173,0.347,1082.9,21.04,73.6,1508,-0.49073538633284286,2.1874486494978855,0.777485132332011,-0.05402727088070297,1.0212434749734491,-0.342357737620249,-0.15034348979744772,0.03572082507325063
Nyarugenge,cassava,1,6.16,0.227,0.057,0.481,731.2,20.9,87.0,1423,0.2599520333838951,-0.7272581204314235,-0.9611344037137366,0.5891675569459387,-0.9581062716566754,-0.39285633670529396,1.3462007016703008,-0.38839743023477397
Burera,cassava,1,5.62,0.099,0.216,0.394,891.9,23.67,60.7,1804,-0.6408728702761902,-1.463120973589119,1.4219734086248315,0.17157091499879093,-0.05369482928118258,0.6062945166202355,-1.591046480091025,1.5126502788517833
Nyaruguru,irish_potato,2,6.95,0.556,0.066,0.241,884.1,19.42,75.8,1593,1.577825503553279,1.1641393693254658,-0.8262415086757045,-0.5628231794599866,-0.09759283332927719,-0.9266986698900517,0.09535779536889928,0.4598390803812752
Rulindo,irish_potato,2,6.07,0.61,0.196,0.353,896.5,23.46,94.3,1681,0.1098145494405478,1.4745815105013682,1.1222114196514268,-0.025227502470554816,-0.027806262791280338,0.530546617992668,2.161482238813178,0.8989262152884065
Huye,beans,0,6.66,0.537,0.18,0.102,718.7,23.44,76.3,1730,1.0940491664024925,1.0549097270598704,0.8824018284727029,-1.230017814295085,-1.028455637118366,0.5233325324090904,0.15119899654306898,1.1434179154071502
Gisagara,irish_potato,2,5.52,0.142,0.114,0.21,1079.0,26.19,61.6,1490,-0.8076922968799105,-1.2159170463564557,-0.10681273513953292,-0.7116219829124186,0.9992944729494012,1.5152693001510409,-1.4905323179775196,-0.05409245252138987
Huye,cassava,1,6.46,0.368,0.148,0.437,851.8,19.36,72.4,1545,0.7604103131950533,0.0833408037501003,0.4027826461152551,0.37796925527151914,-0.27937559368228587,-0.948340926640786,-0.2843623726154537,0.22033700679556723
Nyarugenge,irish_potato,2,5.67,0.35,0.147,0.847,901.7,25.17,78.4,1481,-0.5574631569743307,-0.020139909975200706,0.38779454666658486,2.345953429964975,0.0014590732407831718,1.147350935388572,0.3857320414745827,-0.09899909131871011
Gatsibo,rice,4,6.33,0.535,0.113,0.076,1103.8,21.33,72.9,1216,0.5435450586102181,1.0434118699792814,-0.12180083458820316,-1.3548168107390601,1.1388676140253948,-0.2377534966583709,-0.22852117144128403,-1.4212501225731398
Muhanga,cassava,1,5.19,0.503,0.104,0.36,688.3,18.96,72.1,1564,-1.3581964046721835,0.8594461566898572,-0.25669372962623543,0.008372227341284701,-1.1995452939211977,-1.0926226383123419,-0.31786709331995683,0.3151399109232433
Nyarugenge,maize,3,6.52,0.334,0.109,0.22,711.8,27.76,87.2,1471,0.8605019691572843,-0.1121227666199124,-0.18175323238288418,-0.663622368895505,-1.0672884868532195,2.0815750184619,1.368537182139969,-0.14889535664906595
Nyamagabe,irish_potato,2,6.14,0.463,0.134,0.02,927.4,21.35,71.0,1602,0.22658814806315042,0.6294890150780775,0.19294925383387196,-1.623614649233776,0.1460973686300185,-0.23053941107479195,-0.4407177359031295,0.5047457191785955
Gakenke,rice,4,6.32,0.282,0.005,0.245,863.4,21.11,70.1,1928,0.5268631159498465,-0.4110670507152264,-1.740515575044589,-0.5436233338532211,-0.21409138253383694,-0.31710843807772654,-0.5412318980166356,2.131363968948196
Musanze,maize,3,6.03,0.259,0.091,0.266,881.5,20.2,80.1,1762,0.04308677879905995,-0.5432924071419997,-0.45153902245894856,-0.44282414441770257,-0.11222550134530895,-0.6453493321305175,0.5755921254667584,1.3030859644642887
Nyagatare,cassava,1,5.37,0.301,0.086,0.113,905.0,22.79,77.9,1316,-1.057921436785489,-0.3018374084496309,-0.5264795197022998,-1.17721823887648,0.020031305722669212,0.2888747509428104,0.329890840300413,-0.9222874692695814
Nyamasheke,irish_potato,2,6.47,0.204,0.247,0.421,1027.5,23.54,76.3,1411,0.7770922558554249,-0.859483476858197,1.8866044915336093,0.3011698728444574,0.7094550872472363,0.5594029603269787,0.15119899654306898,-0.44827294863120093
Nyaruguru,irish_potato,2,6.31,0.553,0.186,0.111,1123.9,23.8,74.7,1614,0.5101811732894734,1.1468925837045822,0.9723304251647243,-1.1868181616798628,1.251989393687794,0.653186072913491,-0.027492847214273423,0.5646212375750225
Burera,irish_potato,2,5.33,0.165,0.216,0.04,796.5,20.1,51.7,1719,-1.1246492074269767,-1.0836916899296822,1.4219734086248315,-1.527615421199949,-0.5906011864848044,-0.6814197600484058,-2.5961881012260797,1.0885320235437588
Nyaruguru,beans,0,6.3,0.297,0.119,0.479,971.9,21.54,68.9,1552,0.49349923062910184,-0.32483312261080893,-0.03187223789618185,0.579567634142556,0.3965411096736367,-0.16200559803080347,-0.6752507808346416,0.2552643925268163
Huye,irish_potato,2,5.53,0.519,0.027,0.703,819.2,17.89,68.4,1603,-0.7910103542195375,0.9514290133345693,-1.410777387173844,1.6547589881214195,-0.4628467388063742,-1.4785762170337553,-0.7310919820088113,0.509735345711631
Huye,beans,0,5.65,0.443,0.123,0.275,636.5,23.27,88.8,1674,-0.5908270422950739,0.5145104442721875,0.028080159898499164,-0.39962449180248033,-1.491073064394443,0.46201280494867825,1.5472290258973114,0.8639988295571575
Kirehe,irish_potato,2,5.8,0.477,0.164,0.02,888.0,22.85,81.4,1371,-0.34059790238949555,0.7099740146422002,0.6425922372939792,-1.623614649233776,-0.07564383130522989,0.3105170076935447,0.7207792485196008,-0.6478580099526243
Musanze,cassava,1,6.26,0.433,0.055,0.292,1075.7,19.81,63.2,1787,0.426771459987614,0.45702115886924255,-0.9911106026110771,-0.3180251479737275,0.9807222404675151,-0.7860240010102851,-1.3118404742201766,1.4278266277901783
Bugesera,maize,3,5.86,0.02,0.134,0.405,1028.3,24.41,62.6,1200,-0.24050624642726307,-1.917286328272384,0.19294925383387196,0.22437049041739587,0.7139574466367842,0.8732156832126143,-1.3788499156291802,-1.5010841471017091
Nyarugenge,cassava,1,6.29,0.095,0.06,0.02,790.2,28.55,81.6,1431,0.47681728796873024,-1.4861166877502971,-0.916170105367726,-1.623614649233776,-0.6260572666774962,2.3665313990132235,0.7431157289892675,-0.3484804179704893
Muhanga,rice,4,6.47,0.328,0.119,0.213,1188.3,22.2,94.6,1639,0.7770922558554249,-0.1466163378616794,-0.03187223789618185,-0.6972220987073445,1.6144293245464227,0.07605922622726469,2.1949869595176796,0.6893619009009121
